18;6;59
19;59;39
26;6;27
47;6;83
71;10;91
72;6;30
103;96;101
105;59;101
108;27;101
112;59;94
113;59;85
114;59;83
115;59;98
116;27;59
118;59;99
120;10;96
124;27;34
136;6;85
137;6;119
156;34;7
157;59;126
