50057;H31;3
50014;Z46;3
50144;S14;3
50057;D31;3
50145;F95;3
50057;H18;3
50061;F21;3
50057;H17;3
50057;B60;3
50144;S24;3
50057;C69;3
50144;G82;3
50057;H44;3
50145;F70;3
50144;G95;3
50057;H11;3
50010;R92;3
50072;E77;3
50173;Z44;3
50057;S05;3
50145;F44;3
50057;H16;3
50144;S34;3
50114;E45;3
50088;J30;3
50057;H57;3
50116;M76;3
50144;L89;3
50188;L81;3
50080;Z84;3
50072;D71;3
50145;F42;3
50145;G40;3
50057;H20;3
50061;F33;3
50072;Q20;3
50072;E76;3
50176;C39;3
50057;H27;3
50159;T33;3
50072;G80;3
50143;Z47;3
50111;A49;3
50072;Q93;3
50072;Q25;3
50072;H01;3
50061;F32;3
50057;H33;3
50176;Q76;3
50200;Z26;3
50114;E25;3
50145;R56;3
50095;J81;3
50090;B65;3
50151;E80;3
50114;B86;3
50088;Q54;3
50155;F38;3
50114;J00;3
50114;C96;3
50145;R44;3
50014;F31;3
50072;Q22;3
50072;Q77;3
50072;E72;3
50088;Q37;3
50088;Q35;3
50176;Q06;3
50144;M40;3
50072;Q37;3
50116;M94;3
50114;Q01;3
50072;L66;3
50217;S94;3
50145;Z04;3
50088;H72;3
50061;F43;3
50072;E70;3
50072;Q26;3
50057;H43;3
50144;G71;3
50057;H50;3
50115;E80;3
50114;Q39;3
50145;R41;3
50176;E25;3
50188;J61;3
50072;Q41;3
50111;R26;3
50195;Z75;3
50176;Q72;3
50072;L00;3
50188;L22;3
50065;F70;3
50057;T26;3
50072;Q23;3
50014;F60;3
50072;Q24;3
50072;Q42;3
50057;H35;3
50088;Q55;3
50176;E45;3
50072;Q32;3
50072;Q75;3
50057;T86;3
50114;E34;3
50014;J01;3
50014;S13;3
50072;C47;3
50080;P58;3
50114;Q05;3
50115;F48;3
50072;Q70;3
50116;M93;3
50057;H47;3
50057;H02;3
50115;P14;3
50072;D22;3
50072;Q39;3
50116;S83;3
50165;F55;3
50072;R80;3
50176;P78;3
50072;Q84;3
50063;Z82;3
50170;Z75;3
50057;H05;3
50057;B00;3
50176;S00;3
50199;Z96;3
50072;N06;3
50176;Q01;3
50114;Q17;3
50197;F21;3
50144;G80;3
50057;H40;3
50144;G12;3
50114;D76;3
50165;P15;3
50067;S23;3
50072;Q71;3
50188;T66;3
50176;E71;3
50114;Q67;3
50220;Q38;3
50072;D76;3
50072;Q35;3
50080;R32;3
50144;N21;3
50114;F98;3
50057;H04;3
50143;Q74;3
50072;D81;3
50072;Q31;3
50111;F03;3
50114;Q89;3
50111;E86;3
50057;D48;3
50072;Q69;3
